VIR-001 | 虛擬世界卡牌 001 | unit | Mana:0 | Extra:False
VIR-002 | 虛擬世界卡牌 002 | unit | Mana:0 | Extra:False
VIR-003 | 虛擬世界卡牌 003 | unit | Mana:0 | Extra:False
VIR-004 | 虛擬世界卡牌 004 | unit | Mana:0 | Extra:False
VIR-005 | 虛擬世界卡牌 005 | unit | Mana:0 | Extra:False
VIR-006 | 虛擬世界卡牌 006 | unit | Mana:0 | Extra:False
VIR-007 | 虛擬世界卡牌 007 | unit | Mana:0 | Extra:False
VIR-008 | 虛擬世界卡牌 008 | unit | Mana:0 | Extra:False
VIR-009 | 虛擬世界卡牌 009 | unit | Mana:0 | Extra:False
VIR-010 | 虛擬世界卡牌 010 | unit | Mana:0 | Extra:False
VIR-011 | 虛擬世界卡牌 011 | unit | Mana:0 | Extra:False
VIR-012 | 虛擬世界卡牌 012 | unit | Mana:0 | Extra:False
VIR-013 | 虛擬世界卡牌 013 | unit | Mana:0 | Extra:False
VIR-014 | 虛擬世界卡牌 014 | unit | Mana:0 | Extra:False
VIR-015 | 虛擬世界卡牌 015 | unit | Mana:0 | Extra:False
VIR-016 | 虛擬世界卡牌 016 | unit | Mana:0 | Extra:False
VIR-017 | 虛擬世界卡牌 017 | unit | Mana:0 | Extra:False
VIR-018 | 虛擬世界卡牌 018 | unit | Mana:0 | Extra:False
VIR-019 | 虛擬世界卡牌 019 | unit | Mana:0 | Extra:False
VIR-020 | 虛擬世界卡牌 020 | unit | Mana:0 | Extra:False
VIR-021 | 虛擬世界卡牌 021 | unit | Mana:0 | Extra:False
VIR-022 | 虛擬世界卡牌 022 | unit | Mana:0 | Extra:False
VIR-023 | 虛擬世界卡牌 023 | unit | Mana:0 | Extra:False
VIR-024 | 虛擬世界卡牌 024 | unit | Mana:0 | Extra:False
VIR-025 | 虛擬世界卡牌 025 | unit | Mana:0 | Extra:False
VIR-026 | 虛擬世界卡牌 026 | unit | Mana:0 | Extra:False
VIR-027 | 虛擬世界卡牌 027 | unit | Mana:0 | Extra:False
VIR-028 | 虛擬世界卡牌 028 | unit | Mana:0 | Extra:False
VIR-029 | 虛擬世界卡牌 029 | unit | Mana:0 | Extra:False
VIR-030 | 虛擬世界卡牌 030 | unit | Mana:0 | Extra:False
VIR-031 | 虛擬世界卡牌 031 | unit | Mana:0 | Extra:False
VIR-032 | 虛擬世界卡牌 032 | unit | Mana:0 | Extra:False
VIR-033 | 虛擬世界卡牌 033 | unit | Mana:0 | Extra:False
VIR-034 | 虛擬世界卡牌 034 | unit | Mana:0 | Extra:False
VIR-035 | 虛擬世界卡牌 035 | unit | Mana:0 | Extra:False
VIR-036 | 虛擬世界卡牌 036 | unit | Mana:0 | Extra:False
VIR-037 | 虛擬世界卡牌 037 | unit | Mana:0 | Extra:False
VIR-038 | 虛擬世界卡牌 038 | unit | Mana:0 | Extra:False
VIR-039 | 虛擬世界卡牌 039 | unit | Mana:0 | Extra:False
VIR-040 | 虛擬世界卡牌 040 | unit | Mana:0 | Extra:False
VIR-041 | 虛擬世界卡牌 041 | unit | Mana:0 | Extra:False
VIR-042 | 虛擬世界卡牌 042 | unit | Mana:0 | Extra:False
VIR-043 | 虛擬世界卡牌 043 | unit | Mana:0 | Extra:False
VIR-044 | 虛擬世界卡牌 044 | unit | Mana:0 | Extra:False
VIR-045 | 虛擬世界卡牌 045 | unit | Mana:0 | Extra:False
VIR-046 | 虛擬世界卡牌 046 | unit | Mana:0 | Extra:False
VIR-047 | 虛擬世界卡牌 047 | unit | Mana:0 | Extra:False
VIR-048 | 虛擬世界卡牌 048 | unit | Mana:0 | Extra:False
VIR-049 | 虛擬世界卡牌 049 | unit | Mana:0 | Extra:False
VIR-050 | 虛擬世界卡牌 050 | unit | Mana:0 | Extra:False
VIR-051 | 虛擬世界卡牌 051 | unit | Mana:0 | Extra:False
VIR-052 | 虛擬世界卡牌 052 | unit | Mana:0 | Extra:False
VIR-053 | 虛擬世界卡牌 053 | unit | Mana:0 | Extra:False
VIR-054 | 虛擬世界卡牌 054 | unit | Mana:0 | Extra:False
VIR-055 | 虛擬世界卡牌 055 | unit | Mana:0 | Extra:False
VIR-056 | 虛擬世界卡牌 056 | unit | Mana:0 | Extra:False
VIR-057 | 虛擬世界卡牌 057 | unit | Mana:0 | Extra:False
VIR-058 | 虛擬世界卡牌 058 | unit | Mana:0 | Extra:False
VIR-059 | 虛擬世界卡牌 059 | unit | Mana:0 | Extra:False
VIR-060 | 虛擬世界卡牌 060 | unit | Mana:0 | Extra:False
VIR-061 | 虛擬世界卡牌 061 | unit | Mana:0 | Extra:False
